
coo: 31.0420031_31.3590136;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2017-02-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.25;108.82;15.08;117.40;25.93;127.75;35.16;140.82;41.80;157.39;44.69;177.00;43.11;197.11;37.47;214.73;28.89;228.80;18.45;239.87;6.87;248.91;--;--;--;--;--;--;--;--;--;--;
2017-02-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.43;108.55;15.28;117.13;26.16;127.49;35.43;140.60;42.11;157.24;45.02;176.98;43.43;197.23;37.75;214.94;29.14;229.05;18.66;240.14;7.06;249.18;--;--;--;--;--;--;--;--;--;--;
2017-02-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.61;108.27;15.49;116.86;26.40;127.24;35.70;140.37;42.42;157.08;45.35;176.96;43.75;197.35;38.04;215.15;29.39;229.31;18.88;240.41;7.24;249.46;--;--;--;--;--;--;--;--;--;--;
2017-02-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.80;107.99;15.70;116.59;26.64;126.98;35.98;140.14;42.74;156.93;45.69;176.94;44.07;197.48;38.33;215.38;29.63;229.57;19.09;240.69;7.43;249.74;--;--;--;--;--;--;--;--;--;--;
2017-02-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;3.99;107.71;15.91;116.32;26.89;126.72;36.27;139.91;43.06;156.78;46.03;176.93;44.40;197.62;38.61;215.61;29.88;229.84;19.30;240.97;7.61;250.03;--;--;--;--;--;--;--;--;--;--;
2017-02-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.19;107.43;16.13;116.04;27.14;126.45;36.56;139.68;43.39;156.64;46.37;176.93;44.72;197.76;38.90;215.85;30.13;230.12;19.51;241.26;7.80;250.32;--;--;--;--;--;--;--;--;--;--;
2017-02-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.39;107.15;16.36;115.77;27.39;126.19;36.85;139.45;43.72;156.49;46.72;176.92;45.05;197.91;39.19;216.09;30.37;230.40;19.72;241.55;7.98;250.62;--;--;--;--;--;--;--;--;--;--;
2017-02-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.59;106.86;16.58;115.49;27.65;125.92;37.15;139.22;44.05;156.34;47.07;176.92;45.39;198.07;39.48;216.35;30.62;230.69;19.93;241.85;8.16;250.92;--;--;--;--;--;--;--;--;--;--;
2017-02-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;4.80;106.58;16.81;115.21;27.91;125.66;37.45;138.99;44.39;156.19;47.42;176.93;45.72;198.24;39.77;216.61;30.86;230.99;20.14;242.16;8.34;251.23;--;--;--;--;--;--;--;--;--;--;
2017-02-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.01;106.29;17.05;114.93;28.18;125.39;37.75;138.75;44.73;156.05;47.78;176.94;46.06;198.41;40.07;216.88;31.11;231.29;20.34;242.47;8.52;251.54;--;--;--;--;--;--;--;--;--;--;
2017-02-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.23;106.00;17.29;114.65;28.45;125.12;38.06;138.51;45.07;155.90;48.14;176.95;46.39;198.59;40.36;217.15;31.35;231.60;20.55;242.78;8.70;251.86;--;--;--;--;--;--;--;--;--;--;
2017-02-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.45;105.72;17.53;114.37;28.72;124.85;38.37;138.28;45.42;155.75;48.50;176.97;46.73;198.77;40.65;217.44;31.60;231.91;20.76;243.10;8.88;252.18;--;--;--;--;--;--;--;--;--;--;
2017-02-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.67;105.43;17.77;114.09;29.00;124.57;38.68;138.04;45.77;155.61;48.86;176.99;47.07;198.97;40.94;217.73;31.84;232.23;20.96;243.42;9.06;252.50;--;--;--;--;--;--;--;--;--;--;
2017-02-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;5.90;105.13;18.02;113.80;29.27;124.30;39.00;137.80;46.13;155.46;49.23;177.02;47.42;199.17;41.23;218.02;32.08;232.56;21.17;243.75;9.24;252.83;--;--;--;--;--;--;--;--;--;--;
2017-02-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.13;104.84;18.27;113.51;29.56;124.02;39.32;137.56;46.48;155.32;49.60;177.05;47.76;199.38;41.53;218.33;32.33;232.89;21.37;244.09;9.41;253.16;--;--;--;--;--;--;--;--;--;--;
2017-02-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.36;104.55;18.53;113.23;29.84;123.74;39.65;137.32;46.84;155.17;49.97;177.08;48.10;199.59;41.82;218.64;32.57;233.23;21.57;244.43;9.59;253.50;--;--;--;--;--;--;--;--;--;--;
2017-02-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.60;104.26;18.79;112.94;30.13;123.47;39.97;137.07;47.21;155.03;50.35;177.12;48.45;199.82;42.11;218.96;32.81;233.58;21.77;244.77;9.76;253.84;--;--;--;--;--;--;--;--;--;--;
2017-02-27;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;6.84;103.96;19.05;112.65;30.42;123.19;40.30;136.83;47.57;154.88;50.73;177.16;48.80;200.05;42.40;219.29;33.05;233.93;21.97;245.12;9.93;254.18;--;--;--;--;--;--;--;--;--;--;
2017-02-28;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.08;103.67;19.31;112.36;30.71;122.90;40.63;136.58;47.94;154.74;51.11;177.21;49.14;200.28;42.69;219.62;33.28;234.28;22.17;245.47;10.10;254.53;--;--;--;--;--;--;--;--;--;--;
2017-03-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.33;103.37;19.58;112.06;31.01;122.62;40.96;136.33;48.31;154.60;51.49;177.26;49.49;200.53;42.98;219.96;33.52;234.64;22.37;245.82;10.27;254.87;--;--;--;--;--;--;--;--;--;--;
2017-03-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.57;103.07;19.84;111.77;31.30;122.33;41.30;136.08;48.68;154.45;51.87;177.31;49.84;200.78;43.27;220.31;33.76;235.01;22.56;246.18;10.44;255.23;--;--;--;--;--;--;--;--;--;--;
2017-03-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;7.82;102.78;20.11;111.48;31.60;122.05;41.64;135.83;49.06;154.31;52.26;177.37;50.19;201.04;43.56;220.67;33.99;235.38;22.75;246.55;10.61;255.58;--;--;--;--;--;--;--;--;--;--;
2017-03-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.08;102.48;20.38;111.18;31.91;121.76;41.98;135.58;49.43;154.16;52.64;177.43;50.54;201.31;43.85;221.03;34.22;235.76;22.95;246.91;10.78;255.94;--;--;--;--;--;--;--;--;--;--;
2017-03-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.33;102.18;20.66;110.89;32.21;121.47;42.32;135.32;49.81;154.02;53.03;177.50;50.89;201.59;44.13;221.40;34.45;236.14;23.14;247.28;10.94;256.30;--;--;--;--;--;--;--;--;--;--;
2017-03-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.59;101.88;20.93;110.59;32.51;121.18;42.66;135.06;50.19;153.87;53.42;177.57;51.24;201.87;44.42;221.77;34.68;236.53;23.33;247.66;11.10;256.66;--;--;--;--;--;--;--;--;--;--;
2017-03-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;8.85;101.58;21.21;110.29;32.82;120.88;43.00;134.81;50.58;153.73;53.81;177.65;51.59;202.16;44.70;222.15;34.91;236.92;23.51;248.03;11.27;257.03;--;--;--;--;--;--;--;--;--;--;
2017-03-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.11;101.28;21.49;109.99;33.13;120.59;43.35;134.54;50.96;153.58;54.20;177.73;51.93;202.46;44.99;222.54;35.14;237.31;23.70;248.41;11.43;257.40;--;--;--;--;--;--;--;--;--;--;
2017-03-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.37;100.98;21.77;109.69;33.43;120.29;43.70;134.28;51.34;153.43;54.60;177.82;52.28;202.77;45.27;222.94;35.36;237.71;23.89;248.80;11.59;257.77;--;--;--;--;--;--;--;--;--;--;
2017-03-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.63;100.68;22.05;109.39;33.74;119.99;44.04;134.02;51.73;153.28;54.99;177.90;52.63;203.08;45.55;223.34;35.58;238.12;24.07;249.18;11.75;258.14;--;--;--;--;--;--;--;--;--;--;
2017-03-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;9.90;100.38;22.33;109.08;34.05;119.69;44.39;133.75;52.12;153.13;55.38;178.00;52.98;203.40;45.83;223.75;35.80;238.52;24.25;249.57;11.90;258.51;-0.82;266.46;--;--;--;--;--;--;--;--;
2017-03-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.17;100.08;22.62;108.78;34.37;119.39;44.74;133.48;52.51;152.98;55.78;178.09;53.32;203.73;46.10;224.16;36.02;238.94;24.43;249.96;12.06;258.89;-0.68;266.83;--;--;--;--;--;--;--;--;
2017-03-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.43;99.78;22.90;108.48;34.68;119.09;45.09;133.20;52.89;152.83;56.18;178.20;53.67;204.07;46.38;224.58;36.24;239.35;24.61;250.36;12.22;259.26;-0.53;267.20;--;--;--;--;--;--;--;--;
2017-03-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.70;99.48;23.19;108.17;34.99;118.78;45.44;132.93;53.28;152.68;56.57;178.30;54.02;204.41;46.65;225.01;36.45;239.77;24.78;250.75;12.37;259.64;-0.39;267.58;--;--;--;--;--;--;--;--;
2017-03-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;10.97;99.17;23.47;107.86;35.30;118.48;45.79;132.65;53.68;152.53;56.97;178.41;54.36;204.76;46.92;225.44;36.66;240.20;24.96;251.15;12.52;260.02;-0.24;267.95;--;--;--;--;--;--;--;--;
2017-03-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;11.24;98.87;23.76;107.56;35.61;118.17;46.14;132.37;54.07;152.37;57.36;178.52;54.70;205.12;47.19;225.88;36.88;240.62;25.13;251.55;12.67;260.40;-0.10;268.33;--;--;--;--;--;--;--;--;
2017-03-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;11.51;98.57;24.04;107.25;35.93;117.86;46.50;132.09;54.46;152.21;57.76;178.64;55.04;205.49;47.46;226.32;37.08;241.05;25.30;251.95;12.83;260.79;0.04;268.70;--;--;--;--;--;--;--;--;
2017-03-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;11.78;98.27;24.33;106.94;36.24;117.54;46.85;131.80;54.85;152.05;58.16;178.76;55.38;205.87;47.72;226.77;37.29;241.49;25.47;252.35;12.97;261.17;0.18;269.08;--;--;--;--;--;--;--;--;
2017-03-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.77;90.12;12.05;97.96;24.62;106.63;36.55;117.23;47.20;131.51;55.24;151.89;58.55;178.89;55.72;206.25;47.98;227.22;37.49;241.92;25.64;252.76;13.12;261.55;0.33;269.45;--;--;--;--;--;--;--;--;
2017-03-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.50;89.82;12.33;97.66;24.90;106.32;36.86;116.91;47.55;131.22;55.63;151.73;58.95;179.02;56.06;206.64;48.24;227.68;37.70;242.36;25.81;253.17;13.27;261.94;0.47;269.83;--;--;--;--;--;--;--;--;
2017-03-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;-0.23;89.52;12.60;97.36;25.19;106.00;37.17;116.59;47.90;130.93;56.02;151.56;59.35;179.16;56.40;207.04;48.50;228.15;37.90;242.80;25.97;253.57;13.42;262.32;0.61;270.21;--;--;--;--;--;--;--;--;
2017-03-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.03;89.22;12.87;97.05;25.47;105.69;37.49;116.27;48.25;130.63;56.41;151.40;59.74;179.29;56.73;207.44;48.76;228.62;38.09;243.24;26.13;253.98;13.56;262.71;0.75;270.58;--;--;--;--;--;--;--;--;
2017-03-23;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.30;88.92;13.14;96.75;25.76;105.38;37.79;115.95;48.59;130.33;56.80;151.23;60.14;179.44;57.06;207.86;49.01;229.09;38.29;243.69;26.29;254.39;13.70;263.09;0.88;270.96;--;--;--;--;--;--;--;--;
2017-03-24;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.57;88.62;13.41;96.44;26.04;105.06;38.10;115.62;48.94;130.02;57.19;151.05;60.53;179.58;57.39;208.28;49.26;229.57;38.48;244.14;26.45;254.80;13.85;263.48;1.02;271.34;--;--;--;--;--;--;--;--;
2017-03-25;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.84;88.32;13.68;96.14;26.32;104.75;38.41;115.30;49.29;129.71;57.58;150.88;60.93;179.73;57.72;208.71;49.51;230.05;38.67;244.59;26.61;255.21;13.99;263.86;1.16;271.71;--;--;--;--;--;--;--;--;
2017-03-26;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.10;88.02;13.95;95.84;26.60;104.43;38.72;114.97;49.63;129.40;57.97;150.70;61.32;179.89;58.05;209.14;49.75;230.54;38.86;245.04;26.77;255.62;14.13;264.25;1.30;272.09;--;--;--;--;--;--;--;--;
